5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 2 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
8/30/2018 20:50,14,0,14,2,50
8/30/2018 20:55,9,0,9,2,50
8/31/2018 15:00,100,0,100,2,50
8/31/2018 15:05,99,0,99,2,50
8/31/2018 15:10,104,0,104,2,50
8/31/2018 15:15,55,0,55,2,50
8/31/2018 15:20,45,0,45,2,50
8/31/2018 15:25,48,0,48,2,50
8/31/2018 15:30,65,0,65,2,50
8/31/2018 15:35,57,0,57,2,50
8/31/2018 15:40,66,0,66,2,50
8/31/2018 15:45,58,0,58,2,50
8/31/2018 15:50,62,0,62,2,50
8/31/2018 15:55,101,0,101,2,50
8/31/2018 16:00,98,0,98,2,50
8/31/2018 16:05,88,0,88,2,50
8/31/2018 16:10,83,0,83,2,50
8/31/2018 16:15,71,0,71,2,50
8/31/2018 16:20,57,0,57,2,50
8/31/2018 16:25,60,0,60,2,50
8/31/2018 16:30,52,0,52,2,50
8/31/2018 16:35,93,0,93,2,50
8/31/2018 16:40,67,0,67,2,50
8/31/2018 16:45,81,0,81,2,50
8/31/2018 16:50,67,0,67,2,50
8/31/2018 16:55,65,0,65,2,50
8/31/2018 17:00,60,0,60,2,50
8/31/2018 17:05,44,0,44,2,50
8/31/2018 17:10,38,0,38,2,50
8/31/2018 17:15,64,0,64,2,50
8/31/2018 17:20,47,0,47,2,50
8/31/2018 17:25,61,0,61,2,50
8/31/2018 17:30,42,0,42,2,50
8/31/2018 17:35,43,0,43,2,50
8/31/2018 17:40,29,0,29,2,50
8/31/2018 17:45,40,0,40,2,50
8/31/2018 17:50,34,0,34,2,50
8/31/2018 17:55,38,0,38,2,50
8/31/2018 18:00,33,0,33,2,50
8/31/2018 18:05,26,0,26,2,50
8/31/2018 18:10,35,0,35,2,50
8/31/2018 18:15,29,0,29,2,50
8/31/2018 18:20,25,0,25,2,50
8/31/2018 18:25,23,0,23,2,50
8/31/2018 18:30,21,0,21,2,50
8/31/2018 18:35,33,0,33,2,50
8/31/2018 18:40,31,0,31,2,50
8/31/2018 18:45,23,0,23,2,50
8/31/2018 18:50,35,0,35,2,50
8/31/2018 18:55,24,0,24,2,50
8/31/2018 19:00,25,0,25,2,50
8/31/2018 19:05,15,0,15,2,50
8/31/2018 19:10,28,0,28,2,50
8/31/2018 19:15,22,0,22,2,50
8/31/2018 19:20,16,0,16,2,50
8/31/2018 19:25,14,0,14,2,50
8/31/2018 19:30,19,0,19,2,50
8/31/2018 19:35,29,0,29,2,50
8/31/2018 19:40,13,0,13,2,50
8/31/2018 19:45,17,0,17,2,50
8/31/2018 19:50,20,0,20,2,50
8/31/2018 19:55,15,0,15,2,50
8/31/2018 20:00,14,0,14,2,50
8/31/2018 20:05,16,0,16,2,50
8/31/2018 20:10,16,0,16,2,50
8/31/2018 20:15,16,0,16,2,50
8/31/2018 20:20,16,0,16,2,50
8/31/2018 20:25,13,0,13,2,50
8/31/2018 20:30,6,0,6,2,50
